,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
0,Ang Mo Kio,2014,1,1,0,0,0,0,26.3,28.7,24.5,7.2,29.9,1/1/2014
1,Ang Mo Kio,2014,1,2,0,0,0,0,26.9,30.4,24.6,8.2,32,1/2/2014
2,Ang Mo Kio,2014,1,3,8.8,8.6,8.8,8.8,26.5,30.1,24.8,7.1,29.5,1/3/2014
3,Ang Mo Kio,2014,1,4,1.4,1.4,1.4,1.4,26.6,30.9,24.7,4.2,30.2,1/4/2014
4,Ang Mo Kio,2014,1,5,7.2,1.6,3.2,5.2,24.5,25.5,23.3,5.2,24.1,1/5/2014
5,Ang Mo Kio,2014,1,6,40,8.4,9.4,13.8,24.8,26.5,23.3,4.1,24.1,1/6/2014
6,Ang Mo Kio,2014,1,7,2,1.8,1.8,1.8,26.3,30.7,23.8,5.3,23.4,1/7/2014
7,Ang Mo Kio,2014,1,8,0,0,0,0,26.9,31.3,24.2,6.7,29.2,1/8/2014
8,Ang Mo Kio,2014,1,9,6.4,3.8,5,5.8,25.6,28.5,23.9,3.7,31,1/9/2014
9,Ang Mo Kio,2014,1,10,0,0,0,0,27,31.2,23.9,4.2,17.6,1/10/2014
10,Ang Mo Kio,2014,1,11,0,0,0,0,26.7,31.8,24.1,7.6,31,1/11/2014
11,Ang Mo Kio,2014,1,12,0.8,0.8,0.8,0.8,25.8,28.4,24.7,8,35.6,1/12/2014
12,Ang Mo Kio,2014,1,13,0,0,0,0,26.4,29.4,24.6,9.6,41.4,1/13/2014
13,Ang Mo Kio,2014,1,14,0,0,0,0,26.1,29.2,23.9,8.7,36.7,1/14/2014
14,Ang Mo Kio,2014,1,15,0,0,0,0,25.5,28.3,24,8.5,37.1,1/15/2014
15,Ang Mo Kio,2014,1,16,0,0,0,0,25.5,28.7,23.6,9.3,35.6,1/16/2014
16,Ang Mo Kio,2014,1,17,0,0,0,0,25.6,29.1,23.5,9.9,35.3,1/17/2014
17,Ang Mo Kio,2014,1,18,0,0,0,0,25.6,28.8,23.6,10.3,38.2,1/18/2014
18,Ang Mo Kio,2014,1,19,0,0,0,0,25.5,29,23.3,9,35.6,1/19/2014
19,Ang Mo Kio,2014,1,20,0,0,0,0,25.5,29,23.4,9.7,38.9,1/20/2014
20,Ang Mo Kio,2014,1,21,0,0,0,0,25.4,29.3,23.5,9.7,36.4,1/21/2014
21,Ang Mo Kio,2014,1,22,0,0,0,0,25.2,28.1,22.9,9.6,35.3,1/22/2014
22,Ang Mo Kio,2014,1,23,0,0,0,0,25.4,29.1,23.1,9.2,34.6,1/23/2014
23,Ang Mo Kio,2014,1,24,0,0,0,0,25.3,28.2,23.2,9.6,38.2,1/24/2014
24,Ang Mo Kio,2014,1,25,0,0,0,0,25.4,28.8,23,8.3,31.7,1/25/2014
25,Ang Mo Kio,2014,1,26,0,0,0,0,25.2,29,22.5,8,31,1/26/2014
26,Ang Mo Kio,2014,1,27,0,0,0,0,25.4,29.3,22.7,9.5,35.6,1/27/2014
27,Ang Mo Kio,2014,1,28,0,0,0,0,26.1,29.6,23.9,9.8,40.7,1/28/2014
28,Ang Mo Kio,2014,1,29,0,0,0,0,26.1,30.3,23.7,9.7,38.9,1/29/2014
29,Ang Mo Kio,2014,1,30,0,0,0,0,25.6,30.9,22.5,8.4,39.6,1/30/2014
30,Ang Mo Kio,2014,1,31,0,0,0,0,25.9,30.5,22.6,9.1,38.2,1/31/2014
31,Ang Mo Kio,2014,2,1,0,0,0,0,25.6,31.6,22.2,8.1,31.3,2/1/2014
32,Ang Mo Kio,2014,2,2,0,0,0,0,25.4,30.5,22.5,7.7,30.2,2/2/2014
33,Ang Mo Kio,2014,2,3,0,0,0,0,26.1,32,23,6.9,26.6,2/3/2014
34,Ang Mo Kio,2014,2,4,0,0,0,0,26.3,32.5,23.1,7,27.7,2/4/2014
35,Ang Mo Kio,2014,2,5,0,0,0,0,26,31.7,22.8,8.1,31,2/5/2014
36,Ang Mo Kio,2014,2,6,0,0,0,0,26.2,31.9,23,7.6,30.2,2/6/2014
37,Ang Mo Kio,2014,2,7,0,0,0,0,26.4,31.3,23.6,7.2,24.5,2/7/2014
38,Ang Mo Kio,2014,2,8,8.4,5.2,5.4,8.2,26.1,32,23.7,5.9,23.4,2/8/2014
39,Ang Mo Kio,2014,2,9,0,0,0,0,27,32.5,24.1,5.7,20.2,2/9/2014
40,Ang Mo Kio,2014,2,10,0,0,0,0,27.5,33.3,24.1,5.9,24.1,2/10/2014
41,Ang Mo Kio,2014,2,11,0,0,0,0,27.2,32.2,24.6,7.5,28.8,2/11/2014
42,Ang Mo Kio,2014,2,12,0,0,0,0,27.2,32.6,24.2,8.8,34.2,2/12/2014
43,Ang Mo Kio,2014,2,13,0,0,0,0,27.6,32.6,25.1,9,37.4,2/13/2014
44,Ang Mo Kio,2014,2,14,0,0,0,0,27.1,31.1,24.9,9.1,32,2/14/2014
45,Ang Mo Kio,2014,2,15,0,0,0,0,27.3,31.6,24.5,9.7,39.6,2/15/2014
46,Ang Mo Kio,2014,2,16,0,0,0,0,27.3,32.2,24.7,8.3,35.6,2/16/2014
47,Ang Mo Kio,2014,2,17,0,0,0,0,27.2,31.7,25,9,32.4,2/17/2014
48,Ang Mo Kio,2014,2,18,0,0,0,0,27.4,32.3,24.6,8.3,35.3,2/18/2014
49,Ang Mo Kio,2014,2,19,0,0,0,0,27.2,31.7,24.4,7.6,30.2,2/19/2014
50,Ang Mo Kio,2014,2,20,0,0,0,0,27.3,31.8,24.5,10,39.2,2/20/2014
51,Ang Mo Kio,2014,2,21,0,0,0,0,27.1,30.1,25.2,10.1,43.2,2/21/2014
52,Ang Mo Kio,2014,2,22,0,0,0,0,27.4,32.6,24.5,10.9,39.2,2/22/2014
53,Ang Mo Kio,2014,2,23,0,0,0,0,26.9,31.2,24.2,8.9,41.4,2/23/2014
