,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
0,Tuas South,2014,1,1,0,0,0,0,27.1,29.9,25.1,6,22.3,2014-01-01
1,Tuas South,2014,1,2,0,0,0,0,27.6,32,25.2,6.4,25.6,2014-01-02
2,Tuas South,2014,1,3,57.6,30.6,42.2,52,26.4,31.2,23.3,6,72.4,2014-01-03
3,Tuas South,2014,1,4,17,8.2,14.2,17,26.3,30.7,24.1,6.7,24.8,2014-01-04
4,Tuas South,2014,1,5,0.6,0.4,0.6,0.6,25.5,27.1,23.9,6.6,22.3,2014-01-05
5,Tuas South,2014,1,6,21.2,4.4,6.8,9.6,25.4,27,23.2,4.6,66.2,2014-01-06
6,Tuas South,2014,1,7,5,5,5,5,26.7,31.1,24.9,6.5,25.6,2014-01-07
7,Tuas South,2014,1,8,0,0,0,0,27.7,31.7,25,7.4,27.7,2014-01-08
8,Tuas South,2014,1,9,5.4,4.2,5.2,5.2,26.1,27.9,24.9,5.9,22,2014-01-09
9,Tuas South,2014,1,10,0,0,0,0,27,31,24.8,7.4,20.9,2014-01-10
10,Tuas South,2014,1,11,2.4,2.2,2.2,2.2,26.9,31.6,24.4,7.9,33.5,2014-01-11
11,Tuas South,2014,1,12,0,0,0,0,26.7,29.5,24.9,7.2,28.1,2014-01-12
12,Tuas South,2014,1,13,0,0,0,0,27.3,30.9,25.2,8,25.9,2014-01-13
13,Tuas South,2014,1,14,0,0,0,0,26.9,30.4,24.4,7.7,27.4,2014-01-14
14,Tuas South,2014,1,15,0,0,0,0,26.2,29.4,24.4,7.5,23,2014-01-15
15,Tuas South,2014,1,16,0,0,0,0,26.5,30.1,24,8.3,25.6,2014-01-16
16,Tuas South,2014,1,17,0,0,0,0,26.4,29.6,24.2,8.9,27,2014-01-17
17,Tuas South,2014,1,18,0,0,0,0,26.5,29.1,24.4,8.5,28.1,2014-01-18
18,Tuas South,2014,1,19,0,0,0,0,26.3,30,23.8,8.1,22.7,2014-01-19
19,Tuas South,2014,1,20,0,0,0,0,26.2,29.6,24.1,8.7,27,2014-01-20
20,Tuas South,2014,1,21,0,0,0,0,26.4,29.8,24.1,9.1,27.7,2014-01-21
21,Tuas South,2014,1,22,0,0,0,0,25.9,29.4,23.7,8.8,24.1,2014-01-22
22,Tuas South,2014,1,23,0,0,0,0,26.2,30.3,23.5,8.2,24.8,2014-01-23
23,Tuas South,2014,1,24,0,0,0,0,26.1,28.9,23.9,8.4,24.8,2014-01-24
24,Tuas South,2014,1,25,0,0,0,0,26.3,30,23.8,7.1,23,2014-01-25
25,Tuas South,2014,1,26,0,0,0,0,26.2,30.5,23.4,7.8,25.2,2014-01-26
26,Tuas South,2014,1,27,0,0,0,0,26.3,30.7,23.7,8.8,26.6,2014-01-27
27,Tuas South,2014,1,28,0,0,0,0,27.1,31.6,24.6,8.2,28.8,2014-01-28
28,Tuas South,2014,1,29,0,0,0,0,27.2,32,24.3,9.1,30.2,2014-01-29
29,Tuas South,2014,1,30,0,0,0,0,26.7,31.6,23.5,9.3,30.2,2014-01-30
30,Tuas South,2014,1,31,0,0,0,0,27,31.9,23.6,8.1,22.3,2014-01-31
31,Tuas South,2014,2,1,0,0,0,0,26.5,32.7,23.1,8.3,22.7,2014-02-01
32,Tuas South,2014,2,2,0,0,0,0,26.4,31,23.4,7.5,23,2014-02-02
33,Tuas South,2014,2,3,0,0,0,0,27,31.1,24,6.6,21.6,2014-02-03
34,Tuas South,2014,2,4,0,0,0,0,26.9,30.6,24.1,7.7,21.6,2014-02-04
35,Tuas South,2014,2,5,0,0,0,0,26.9,31,23.7,8.7,25.9,2014-02-05
36,Tuas South,2014,2,6,0,0,0,0,27,31.4,24,8.4,21.6,2014-02-06
37,Tuas South,2014,2,7,0,0,0,0,27.2,32.2,24.6,7.5,24.8,2014-02-07
38,Tuas South,2014,2,8,0,0,0,0,27.3,31.8,24.8,6.6,20.2,2014-02-08
39,Tuas South,2014,2,9,0,0,0,0,27.5,30.6,25.2,8.4,22.7,2014-02-09
40,Tuas South,2014,2,10,0,0,0,0,27.9,32.3,25.5,7.9,23.4,2014-02-10
41,Tuas South,2014,2,11,0,0,0,0,27.9,32.1,25.7,8,24.5,2014-02-11
42,Tuas South,2014,2,12,0,0,0,0,27.7,32.6,25,7.8,27.7,2014-02-12
43,Tuas South,2014,2,13,4.8,2.4,3.8,4.8,28,33.6,25.6,7.3,29.9,2014-02-13
44,Tuas South,2014,2,14,50.4,26,36.8,49.2,27,32.6,21.7,6.7,28.8,2014-02-14
45,Tuas South,2014,2,15,0.6,0.6,0.6,0.6,27.6,33.2,25,7.5,36,2014-02-15
46,Tuas South,2014,2,16,0.6,0.2,0.4,0.6,27.2,32.3,24.5,7,23.8,2014-02-16
47,Tuas South,2014,2,17,0,0,0,0,28,32.1,25.5,7.5,24.1,2014-02-17
48,Tuas South,2014,2,18,0,0,0,0,27.8,32.7,25.4,8,25.2,2014-02-18
49,Tuas South,2014,2,19,0,0,0,0,28.2,32.1,25,6.1,20.9,2014-02-19
50,Tuas South,2014,2,20,0,0,0,0,28.4,32.5,25.7,7.8,31,2014-02-20
51,Tuas South,2014,2,21,0,0,0,0,28.1,31.8,25.8,8.8,31,2014-02-21
52,Tuas South,2014,2,22,0,0,0,0,28.3,33.5,25.1,8.8,33.5,2014-02-22
53,Tuas South,2014,2,23,0,0,0,0,27.9,33.6,25,7,29.9,2014-02-23
54,Tuas South,2014,2,24,0,0,0,0,27.7,32.8,24.5,7.5,27.4,2014-02-24
55,Tuas South,2014,2,25,0,0,0,0,27.3,32.3,24,7.7,25.6,2014-02-25
56,Tuas South,2014,2,26,0,0,0,0,28,32.5,24.8,8.2,24.5,2014-02-26
57,Tuas South,2014,2,27,0,0,0,0,27.8,33.9,24.8,7.3,27.7,2014-02-27
58,Tuas South,2014,2,28,0,0,0,0,28.3,33.2,25.1,6.9,22.7,2014-02-28
59,Tuas South,2014,3,1,0,0,0,0,27.7,32.6,25,7.2,25.9,2014-03-01
